ID1,ID2,SNP_count_0.001,PRS_0.001,SNP_count_0.01,PRS_0.01,SNP_count_0.05,PRS_0.05,SNP_count_0.1,PRS_0.1,SNP_count_0.2,PRS_0.2,SNP_count_0.5,PRS_0.5
Family24,Father,2,-0.1022671846164249,13,-0.034413014602945206,14,-0.024537239839005336,18,-0.01924511480315512,21,-0.01555988455223504,33,-0.008632387688713898
Family25,Child,2,-0.1022671846164249,13,-0.026659971384636997,14,-0.017337985422004855,18,-0.01284128446246103,21,-0.01088848038685927,33,-0.006005466636379245
Family25,Mother,2,-0.073097423810621,13,-0.027373989142370752,14,-0.018001001911329056,18,-0.014206027181441662,21,-0.012696392680396441,33,-0.007062112031211681
Family25,Father,2,-0.1022671846164249,13,-0.03795941966469088,14,-0.027830330253483453,18,-0.02079061243516416,21,-0.01770219007774767,33,-0.01051223630475733
Family26,Child,2,-0.08030335311401635,13,-0.02855200078529296,14,-0.019094869865471105,18,-0.01501216037929516,21,-0.012016722279228913,33,-0.006563984564708272
Family26,Father,2,-0.073097423810621,13,-0.023335349586441848,14,-0.014250836609395075,18,-0.010228784045317647,21,-0.00876752918170084,33,-0.005932898397857888
Family27,Child,2,-0.1022671846164249,13,-0.031217803040442835,14,-0.021570257673824558,18,-0.017786525235298542,21,-0.015254884756173606,33,-0.008891286836091541
Family28,Mother,2,-0.08030335311401635,13,-0.03723200848929131,14,-0.030863728165334326,18,-0.02326429562716903,21,-0.019226899324492123,33,-0.011796076799963355
Family29,Child,2,-0.1022671846164249,13,-0.028591973467404993,14,-0.01913198735600371,18,-0.013176171398729218,21,-0.0118987435283739,33,-0.006738297933135727
Family29,Mother,2,-0.073097423810621,13,-0.036291592749034866,14,-0.026281633831802875,18,-0.019797455447859488,21,-0.018008843433629598,33,-0.011208839223343158
Family29,Father,2,-0.1022671846164249,13,-0.02736433989968817,14,-0.021700893046417122,18,-0.017039067297808727,21,-0.01436824509333568,33,-0.0073196906781211185
Family30,Child,2,-0.1022671846164249,13,-0.03669362519943502,14,-0.026654949678603015,18,-0.020890654221513517,21,-0.02069496719688964,33,-0.012249123983231353
Family30,Mother,2,-0.1022671846164249,13,-0.0302986441132563,14,-0.020716752955722777,18,-0.013133797820564433,21,-0.010543615490259617,33,-0.005829059034226679
Family30,Father,2,-0.073097423810621,13,-0.02829276519748723,14,-0.02256300225151625,18,-0.014731932658105677,21,-0.011819069277646274,33,-0.007195350911639447
Family31,Mother,2,-0.08030335311401635,13,-0.034378744735180225,14,-0.024505417818937853,18,-0.01617597989295129,21,-0.015070465118752612,33,-0.008446918357364492
Family32,Child,2,-0.1022671846164249,13,-0.026171058534813215,14,-0.020592846064747518,18,-0.012183794044700512,21,-0.010324917171635965,33,-0.004945134929270875
Family33,Mother,2,-0.073097423810621,13,-0.02665531909530255,14,-0.017333665439051436,18,-0.012837924475719482,21,-0.011693901970382245,33,-0.006720637927113074
Family34,Child,2,-0.08030335311401635,13,-0.03933265004539003,14,-0.029105472749846956,18,-0.021896763637345516,21,-0.018768654546296157,33,-0.01014862930202411
Family34,Mother,2,-0.1022671846164249,13,-0.033716963909689805,14,-0.023890907052411033,18,-0.01784099031711758,21,-0.016024786308160392,33,-0.009628382536451608
Family34,Father,2,-0.08030335311401635,13,-0.02501649939162142,14,-0.015811904285633248,18,-0.012503395694789365,21,-0.010598861443140697,33,-0.005610319917423667
Family35,Child,2,-0.1022671846164249,13,-0.03183509343558846,14,-0.0256668644867313,18,-0.01910634860413936,21,-0.01637687023211945,33,-0.009554936263385586
Family35,Mother,2,-0.0583395216116078,13,-0.02926693772563271,14,-0.019758739881500873,18,-0.013549936294990326,21,-0.01149589624331295,33,-0.006118429326278146
Family36,Father,2,-0.1022671846164249,13,-0.03157563206438697,14,-0.021902527481772682,18,-0.016178530933615994,21,-0.01533233001579007,33,-0.008391002910547252
Family36,Mother,2,-0.1022671846164249,13,-0.029419616753049074,14,-0.019900513264101784,18,-0.01669921981284994,21,-0.015452772760520659,33,-0.009490744231230475
Family37,Child,2,-0.0583395216116078,13,-0.02644742790141446,14,-0.017140623616155353,18,-0.01247639616168675,21,-0.010533176798187252,33,-0.005038706770225206
Family37,Mother,2,-0.073097423810621,13,-0.02896065059109288,14,-0.019474330399428176,18,-0.01620101256613612,21,-0.01594276545593512,33,-0.010801140903805849
Family38,Mother,2,-0.1022671846164249,13,-0.0312589248817886,14,-0.02160844224078849,18,-0.014034150082907735,21,-0.010965716799426529,33,-0.005953126562850175
Family39,Child,2,-0.1022671846164249,13,-0.03813717915535629,14,-0.027995392637672773,18,-0.020019141316620352,21,-0.017159263985674588,33,-0.009870351744886603
Family39,Mother,2,-0.1022671846164249,13,-0.025157756044293624,14,-0.015943071177400295,18,-0.01138123508940226,21,-0.009755344362344796,33,-0.005154868501113266
Family40,Mother,2,-0.1022671846164249,13,-0.03446940673438023,14,-0.024589603961052146,18,-0.018268479306388908,21,-0.015540361681654593,33,-0.008869878321834316
Family41,Child,2,-0.08030335311401635,13,-0.024354133223144413,14,-0.018905701132483636,18,-0.014909682131228555,21,-0.013521528131887511,33,-0.006687079878620065
Family42,Child,2,-0.08030335311401635,13,-0.033820692554881314,14,-0.02398722650866029,18,-0.019556544210389486,21,-0.016686959501663434,33,-0.009848879415721918
Family43,Child,2,-0.1022671846164249,13,-0.035761527386004875,14,-0.025789430280417882,18,-0.01920167755478448,21,-0.01645858076124384,33,-0.00994855354965048
Family43,Mother,2,-0.1022671846164249,13,-0.02520907325233632,14,-0.015990722870582796,18,-0.011691834097874255,21,-0.01012523985460148,33,-0.006601750661811798
Family43,Father,2,-0.08030335311401635,13,-0.02420382223808099,14,-0.01505727550020285,18,-0.012770093944560005,21,-0.011602511024440633,33,-0.005248837610462342
Family44,Child,2,-0.073097423810621,13,-0.023635847835248296,14,-0.014715313254880012,18,-0.009690190685559314,21,-0.009723928166744085,33,-0.006320642298459859
Family44,Mother,2,-0.05113359230821245,13,-0.02367630041083557,14,-0.01456743380347496,18,-0.010590968247051542,21,-0.009810481676675217,33,-0.005264956727798186
Family44,Father,2,-0.1022671846164249,13,-0.04015229763021452,14,-0.029866574078612557,18,-0.02428843728332311,21,-0.021319557824137504,33,-0.013202581314178726
Family45,Father,2,-0.1022671846164249,13,-0.0318737801915067,14,-0.022179379314098146,18,-0.015384201980878578,21,-0.012888663524694638,33,-0.00742225935954465
Family45,Mother,2,-0.1022671846164249,13,-0.02527050609245855,14,-0.016047767650696296,18,-0.01268684497872729,21,-0.012930621809584698,33,-0.0078123766262926456
Family46,Child,2,-0.1022671846164249,13,-0.03589211809128267,14,-0.025910693078175832,18,-0.021003913444867288,21,-0.01869332108679465,33,-0.010594412957747755
Family46,Father,2,-0.1022671846164249,13,-0.030596890091995895,14,-0.020993695650266684,18,-0.017549472779867084,21,-0.015656579266695496,33,-0.009120940047887922
Family47,Child,2,-0.08030335311401635,13,-0.03358297882634625,14,-0.023766492332163443,18,-0.018591053890329525,21,-0.015816854182175124,33,-0.009919394063090864
Family48,Child,2,-0.08030335311401635,13,-0.03022594962712606,14,-0.020649250932887556,18,-0.016265776420431602,21,-0.014008277792800746,33,-0.007849897693129415
Family48,Father,2,-0.1022671846164249,13,-0.033371794925805436,14,-0.02357039299594698,18,-0.018375612639775947,21,-0.015750525119807953,33,-0.00970266734533776
Family49,Child,2,-0.1022671846164249,13,-0.02537363383997484,14,-0.01614352913053285,18,-0.01165465700506136,21,-0.00913886224417137,33,-0.005773172375918697
Family49,Mother,2,-0.1022671846164249,13,-0.03223625005933817,14,-0.02993366076938544,18,-0.02136452003380611,21,-0.018269903555254034,33,-0.011613677820628223
Family49,Father,2,-0.08030335311401635,13,-0.027300358664253697,14,-0.017932630753077505,18,-0.01420363935954193,21,-0.012174548022464511,33,-0.0072270014758430085
